pickup_hour,residual
168,-649.1493280818315
169,-348.30596411517877
170,-196.62714523426598
171,-94.4659303100018
172,108.46434546083117
173,196.5832012352996
174,234.14832980114602
175,348.8613850335187
176,155.43108374171243
177,-234.41205887766682
178,-151.01173856670266
179,-107.47710177907902
180,-80.6634254229757
181,185.7486385136972
182,275.8407411443486
183,-317.3598069087493
184,-91.7205030487803
185,-24.037899174085396
186,656.4881456378062
187,-482.0429682550903
188,869.2008681507414
189,-319.7160792547538
190,-14.792657882229832
191,9.373116427925652
192,109.77779690264265
193,301.59729684929454
194,219.14237558726626
195,237.2886468286601
196,60.993502297795146
197,183.96985125699484
198,-219.1149756163013
199,-169.383188768139
200,-440.84411594352605
201,-351.32659938581764
202,-212.5689201283394
203,-183.06392126295486
204,-8.30040412840117
205,-65.37012556214722
206,-151.3724992807056
207,-330.63303609005015
208,-142.83279637772557
209,-346.9093350286512
210,7.88562536810241
211,213.66477743355154
212,965.8163202808291
213,862.7538512963383
214,449.30648107890374
215,403.7368949568827
216,-825.0026468657757
217,-16.245506610868347
218,269.21332470479547
219,258.45389304814444
220,296.24688245570087
221,208.8277073533584
222,249.9131503925155
223,-308.43134752589776
224,-780.8411527026155
225,-488.7302491291175
226,-211.43989679195056
227,-77.95073372101342
228,-76.66451120663532
229,13.451981338566839
230,-325.16592068070986
231,-323.1712910398146
232,-66.6951314378457
233,-211.1487626489852
234,213.8033743088854
235,-256.4037589563286
236,543.9660435867436
237,-683.5472446277545
238,-220.4305223905285
239,293.05486993234445
240,-142.39686835281327
241,-392.6779021718494
242,123.96828980979268
243,250.14997824084458
244,377.1665128312609
245,313.5079693265751
246,296.6923980927172
247,414.57629952524985
248,-75.56858009302596
249,-739.3210614943855
250,-499.0787719365271
251,-150.90952336174996
252,-132.03103833148998
253,-225.31643611332402
254,309.53124893931727
255,895.7837687869642
256,-278.57369688272775
257,1031.3645491329971
258,456.3637645962681
259,1427.0565934755195
260,314.28734603967496
261,386.2690018330268
262,185.02225816655482
263,-61.87144169511521
264,50.8782377224552
265,-506.53875532574057
266,-154.48751204263
267,144.38383226592794
268,345.6711863182861
269,185.31450700587266
270,132.20405648026008
271,-112.33033340834572
272,-244.4645229039279
273,-411.9536520002612
274,-210.1736046939177
275,72.44438531054493
276,612.0568409518937
277,308.04779631464953
278,-771.8339644805483
279,-61.73305878285646
280,-297.21698269877925
281,-349.6059206690943
282,-335.4508407691137
283,-65.24266019470633
284,-979.055949815528
285,-1140.1619850380885
286,399.3237768471099
287,1245.4605783714442
288,901.5136751433984
289,535.1874430317703
290,-181.9046167399183
291,-493.4330475492402
292,-699.6631082384756
293,-655.0310182644564
294,-396.0932169003579
295,-614.8579256769385
296,307.0234741483396
297,386.1724531866598
298,515.4650202097
