feature,coefficient,std_error,t_stat,p_value,ci_lower,ci_upper,significant_05
const,-506.55911197054024,106.36528923704017,-4.762447557883746,2.089034647400248e-06,-715.19219057122,-297.9260333698605,True
taxi_trip_count_lag_1,0.9444140494220093,0.02427659334689633,38.90224777121577,2.469988544110683e-232,0.8967960676139367,0.992032031230082,True
taxi_trip_count_lag_2,-0.29708535669762254,0.021624439818211737,-13.73840706141309,1.2158434647722651e-40,-0.3395012001052814,-0.2546695132899637,True
taxi_trip_count_lag_24,0.13491793380196446,0.011742681749835542,11.489533368632255,2.1511542808436226e-29,0.11188493250925458,0.15795093509467434,True
taxi_trip_count_lag_168,0.14353860422227546,0.012221589266976486,11.744675842619415,1.3763601450257248e-30,0.11956623680380386,0.16751097164074705,True
subway_ridership,0.008882300562027604,0.0005235854747683078,16.964375426873936,2.1339984574055987e-59,0.007855299645703575,0.009909301478351633,True
subway_ridership_lag_1,-0.007204773880116797,0.0007504638998498077,-9.600426991303257,3.0137980787162157e-21,-0.008676791630714083,-0.005732756129519512,True
subway_ridership_lag_2,0.0026739391509246614,0.0005662560032556622,4.722138282951481,2.5419009491141116e-06,0.0015632409703174026,0.0037846373315319204,True
subway_ridership_lag_24,-0.0020250062396797164,0.0003395007179512245,-5.964659668173796,3.0235729317183897e-09,-0.0026909291218659773,-0.0013590833574934557,True
temperature_2m,-8.537664761620178,2.9266022864499868,-2.9172617000776335,0.0035814264147645686,-14.278128114294645,-2.7972014089457096,True
precipitation,-10.94524442636387,16.782235790263726,-0.6521922682503241,0.5143726774307363,-43.86321554119205,21.972726688464306,False
rain_flag,93.39845221791471,32.69496535832833,2.856661605060349,0.004337636985646899,29.268026527545643,157.5288779082838,True
hour_of_day_1,322.5724418348527,73.37589841425967,4.396163437941155,1.1758511644307195e-05,178.6472977294135,466.49758594029197,True
hour_of_day_10,658.2907007129559,116.98224123683417,5.6272703767080845,2.164725793630722e-08,428.8327139400591,887.7486874858527,True
hour_of_day_11,711.9227607478506,99.50173203419423,7.154878072908269,1.2804994795326052e-12,516.7523923945939,907.0931291011073,True
hour_of_day_12,789.6698571768236,92.19299353265203,8.565399895569568,2.531246689726863e-17,608.8354119917527,970.5043023618945,True
hour_of_day_13,611.2689707355321,92.61099302078041,6.6003932232793705,5.5936948018062864e-11,429.61462912854313,792.9233123425211,True
hour_of_day_14,767.9499088140865,96.74237406328471,7.938092446560455,3.877341469499781e-15,578.1919579192096,957.7078597089634,True
hour_of_day_15,368.36266889407943,104.01818148648559,3.541329637087901,0.0004097534810786955,164.33338838691526,572.3919494012437,True
hour_of_day_16,387.29421492859,108.80885792618872,3.559399687765438,0.00038278003978284145,173.86813231272674,600.7202975444533,True
hour_of_day_17,737.7262155226217,122.9856328032852,5.998474770647483,2.4680620062775697e-09,496.4927136964751,978.9597173487683,True
hour_of_day_18,1038.5989885239078,112.88919306675281,9.200163100729855,1.10444480297791e-19,817.1694219876345,1260.0285550601811,True
hour_of_day_19,-6.994814440457958,107.87601315277995,-0.06484123982735177,0.9483086659391715,-218.59114339957048,204.60151451865457,False
hour_of_day_2,413.0319880031377,79.41474161913534,5.200948584382421,2.2437910799135438e-07,257.2617912676788,568.8021847385967,True
hour_of_day_20,503.9921770711492,92.34579545283124,5.457662415486803,5.598919136048213e-08,322.85801441948973,685.1263397228086,True
hour_of_day_21,1296.6257858962872,85.49351146555117,15.166364834818497,1.3789702068785866e-48,1128.932221337925,1464.3193504546493,True
hour_of_day_22,494.38895165886174,84.97864390792367,5.817802319775115,7.213900515563695e-09,327.705288022031,661.0726152956925,True
hour_of_day_23,-84.49743507981293,76.1532969888232,-1.1095702802232499,0.26735427437408316,-233.87038287448937,64.8755127148635,False
hour_of_day_3,417.67730256014147,86.26656384542372,4.84170556866684,1.4141628936525568e-06,248.46741346499405,586.8871916552889,True
hour_of_day_4,453.0226701940974,91.78119146943514,4.935898771209158,8.827855452001683e-07,272.9959653239292,633.0493750642655,True
hour_of_day_5,377.11276269272344,98.17392499219545,3.8412721374102423,0.00012727295854837888,184.54685743966576,569.6786679457812,True
hour_of_day_6,732.0483239813095,104.1990721971388,7.025478332439612,3.1684879251275813e-12,527.6642304884001,936.4324174742189,True
hour_of_day_7,729.0206274890993,122.13182210223057,5.969129215798253,2.943697159774208e-09,489.4618557970123,968.5793991811863,True
hour_of_day_8,474.59355811185196,125.24847426036482,3.7892162831881957,0.00015683580220114446,228.92154459676837,720.2655716269355,True
hour_of_day_9,841.9203854180828,115.497191961084,7.289531209570551,4.909852730741324e-13,615.3752887853425,1068.465482050823,True
day_of_week_1,-145.76672404989668,51.51727237814381,-2.8294728606737762,0.004721818021403439,-246.81667384516314,-44.716774254630224,True
day_of_week_2,70.56461004575328,54.35025514475331,1.298330796383855,0.19436449075235188,-36.04217055832356,177.17139064983013,False
day_of_week_3,76.37597722829256,52.66101485760966,1.4503324220926217,0.14716571231045927,-26.917397243660986,179.6693517002461,False
day_of_week_4,105.16393354699917,50.983622591118895,2.06270029869,0.03930536546486457,5.160725586030594,205.16714150796776,True
day_of_week_5,58.07638366744774,48.35680213906837,1.2009971937438506,0.22993356094991743,-36.77437614268477,152.92714347758027,False
day_of_week_6,270.51244626349603,43.9038634030766,6.161472483183329,9.142218883562896e-10,184.39602379192698,356.6288687350651,True
regression_month_5,58.6856426450213,28.20622917544848,2.080591570038826,0.03763321372296601,3.359770165366065,114.01151512467652,True
regression_month_6,184.92969655180843,40.96596861805042,4.514227364572181,6.828808326361683e-06,104.57588741022266,265.2835056933942,True
