model,train_r2,test_r2,train_mae,test_mae,train_rmse,test_rmse,adjusted_r2,aic,bic
model_1_temporal_baseline,0.9737521066669116,0.9588535140055582,315.4085996388601,367.2985109963903,449.6285428930125,518.6786773228946,0.9731691902540575,24340.20965508086,24534.077968311256
model_2_transit,0.9781448478384421,0.9660404710392374,281.9250521954284,324.03656948926636,410.2830391991288,471.2082090829132,0.9776026398649684,24052.973400624553,24268.382637547216
model_3_weather,0.9784109171488835,0.9659187653264466,281.2251452107662,321.9703024677378,407.7779546290533,472.05182267722626,0.9778330067092743,24039.228129893738,24270.7930595856
model_4_reduced,0.9737306758639942,0.9614851401533329,326.5933122438144,358.6778980525835,449.81206113762147,501.8179360949273,0.9730960704493926,24347.525279094676,24557.549285094272
