pickup_hour,temporal_residual_demand,subway_ridership,taxi_trip_count
2024-04-11 22:00:00,25.839315792225534,84810,9505.0
2024-04-11 23:00:00,-177.09992743385374,49486,7208.0
2024-04-12 00:00:00,153.74820229774105,28831,4669.0
2024-04-12 01:00:00,-332.5190194578372,10059,2135.0
2024-04-12 02:00:00,210.1295210625767,6146,940.0
2024-04-12 03:00:00,239.73405308692116,6440,526.0
2024-04-12 04:00:00,313.7528308336065,17244,716.0
2024-04-12 05:00:00,77.94322877309355,61343,1020.0
2024-04-12 06:00:00,142.48929157474436,137062,2175.0
2024-04-12 07:00:00,-24.712431590339747,265979,3929.0
2024-04-12 08:00:00,-342.0958547268401,290580,4882.0
2024-04-12 09:00:00,-480.6632663958462,194750,4735.0
2024-04-12 10:00:00,-50.290265171352985,145173,4959.0
2024-04-12 11:00:00,110.0460246560333,140511,5634.0
2024-04-12 12:00:00,564.9497815422274,157130,6830.0
2024-04-12 13:00:00,87.35867363946363,175795,7104.0
2024-04-12 14:00:00,-637.2265982686104,220036,6796.0
2024-04-12 15:00:00,284.95810518695,269810,7242.0
2024-04-12 16:00:00,-386.0308800691337,292147,7090.0
2024-04-12 17:00:00,-347.73086230223,314033,7799.0
2024-04-12 18:00:00,-392.696854235568,253703,8314.0
2024-04-12 19:00:00,-71.20688057425377,186068,7956.0
2024-04-12 20:00:00,-1278.8984848630598,137463,6741.0
2024-04-12 21:00:00,-1023.0402499582251,110914,6467.0
2024-04-12 22:00:00,629.7757753335891,104410,7447.0
2024-04-12 23:00:00,764.7557147413818,72471,7778.0
2024-04-13 00:00:00,417.8739998694982,46241,7100.0
2024-04-13 01:00:00,256.5343207633805,20642,5819.0
2024-04-13 02:00:00,-154.2220105661836,11531,4116.0
2024-04-13 03:00:00,-151.3375660489478,8344,2548.0
2024-04-13 04:00:00,-291.321657940799,11843,1326.0
2024-04-13 05:00:00,-328.4122798731121,23069,541.0
2024-04-13 06:00:00,-254.08340084668453,46084,918.0
2024-04-13 07:00:00,-853.305845847734,72414,1461.0
2024-04-13 08:00:00,59.01559899054291,95898,2620.0
2024-04-13 09:00:00,401.52908045017375,115362,3755.0
2024-04-13 10:00:00,604.3814220666109,131651,5166.0
2024-04-13 11:00:00,345.4835286808475,150604,6322.0
2024-04-13 12:00:00,430.84304112309474,168699,7372.0
2024-04-13 13:00:00,-631.393681251091,175616,6840.0
2024-04-13 14:00:00,39.671618447716355,183054,6817.0
2024-04-13 15:00:00,500.651055246396,194942,7202.0
2024-04-13 16:00:00,-1.2376749369132085,196562,7289.0
2024-04-13 17:00:00,-192.4979473207568,185397,7646.0
2024-04-13 18:00:00,111.0585835763759,171728,8061.0
2024-04-13 19:00:00,468.6005398474563,143090,7740.0
2024-04-13 20:00:00,-608.2520570413408,113416,6609.0
2024-04-13 21:00:00,-160.6598651578297,98567,6646.0
2024-04-13 22:00:00,801.4580909510832,89602,7548.0
2024-04-13 23:00:00,1123.1319269434543,65543,8339.0
2024-04-14 00:00:00,481.4116096361231,43895,7853.0
2024-04-14 01:00:00,516.6858509289641,21364,6930.0
2024-04-14 02:00:00,-359.180273732778,12190,4955.0
2024-04-14 03:00:00,-352.2337553486491,8309,2909.0
2024-04-14 04:00:00,172.88332039483203,10035,1804.0
2024-04-14 05:00:00,-336.0874687078108,16906,637.0
2024-04-14 06:00:00,245.95847045219978,32296,1022.0
2024-04-14 07:00:00,-396.71297369638114,50718,1473.0
2024-04-14 08:00:00,87.48980412439414,70772,2081.0
2024-04-14 09:00:00,762.9368348131925,93558,3215.0
2024-04-14 10:00:00,332.2527776056213,109979,4338.0
2024-04-14 11:00:00,110.8950788380962,127297,5249.0
2024-04-14 12:00:00,291.6724460384703,150526,6266.0
2024-04-14 13:00:00,1048.0514397641646,166448,7482.0
2024-04-14 14:00:00,-826.6960999583935,153467,6749.0
2024-04-14 15:00:00,-52.694885739281744,158063,6095.0
2024-04-14 16:00:00,635.5473756943347,165426,6455.0
2024-04-14 17:00:00,-599.2967047362645,163249,6292.0
2024-04-14 18:00:00,68.09922435922726,143459,6292.0
2024-04-14 19:00:00,148.72001450191783,119499,5304.0
2024-04-14 20:00:00,392.2627771529915,97525,5129.0
2024-04-14 21:00:00,1171.3576162788922,80189,6620.0
2024-04-14 22:00:00,-2176.008849689386,54876,3897.0
2024-04-14 23:00:00,206.32211703619487,33837,2432.0
2024-04-15 00:00:00,-109.41700681006319,16512,1567.0
2024-04-15 01:00:00,-646.7347968893744,7147,736.0
2024-04-15 02:00:00,-404.24773531923006,4970,329.0
2024-04-15 03:00:00,-94.94648864642778,6113,252.0
2024-04-15 04:00:00,-58.9876956013303,17624,341.0
2024-04-15 05:00:00,225.11938818099748,64987,772.0
2024-04-15 06:00:00,322.3151109370972,150193,2034.0
2024-04-15 07:00:00,648.762136208099,304697,4103.0
2024-04-15 08:00:00,207.5324250767917,358016,5081.0
2024-04-15 09:00:00,20.973373811807505,222970,4928.0
2024-04-15 10:00:00,104.14604731627787,154359,4902.0
2024-04-15 11:00:00,80.57107465534682,141410,5174.0
2024-04-15 12:00:00,-31.56933195043166,152871,5567.0
2024-04-15 13:00:00,-136.91550724116314,173779,5815.0
2024-04-15 14:00:00,97.33213192364292,212516,6438.0
2024-04-15 15:00:00,290.74609978026547,269092,6695.0
2024-04-15 16:00:00,111.02066043875129,312951,6653.0
2024-04-15 17:00:00,329.97892466307894,371600,7333.0
2024-04-15 18:00:00,-235.5328123344334,275829,7215.0
2024-04-15 19:00:00,83.9137105712598,175326,5757.0
2024-04-15 20:00:00,635.129695892897,133215,5688.0
2024-04-15 21:00:00,-493.3527710999733,98968,5715.0
2024-04-15 22:00:00,185.17974254793353,76776,5128.0
2024-04-15 23:00:00,-379.160724567093,41800,2835.0
2024-04-16 00:00:00,390.6521419283524,21204,1490.0
2024-04-16 01:00:00,36.43389960079003,7902,621.0
2024-04-16 02:00:00,65.19427530838556,4926,279.0
2024-04-16 03:00:00,82.40129232032115,6414,227.0
2024-04-16 04:00:00,8.639042753944352,18255,322.0
2024-04-16 05:00:00,21.651993060153472,67126,700.0
2024-04-16 06:00:00,116.99987666656943,158156,1995.0
2024-04-16 07:00:00,375.806120394413,327218,4309.0
2024-04-16 08:00:00,14.504128921396841,415429,5718.0
2024-04-16 09:00:00,-512.7710806641498,257904,5463.0
2024-04-16 10:00:00,69.92590931014274,165962,5539.0
2024-04-16 11:00:00,-398.174105830225,146072,5386.0
2024-04-16 12:00:00,7.714903113828768,155830,5802.0
2024-04-16 13:00:00,-175.4742557910049,176445,5966.0
2024-04-16 14:00:00,-8.364074708515545,218340,6573.0
2024-04-16 15:00:00,-127.02173724695149,279443,6731.0
2024-04-16 16:00:00,-89.94439382921792,329717,6814.0
2024-04-16 17:00:00,-159.36276192490186,421529,7523.0
2024-04-16 18:00:00,19.43741842745203,312782,8115.0
2024-04-16 19:00:00,-303.98201862550377,194879,6823.0
2024-04-16 20:00:00,469.21047945366627,147097,6946.0
2024-04-16 21:00:00,-178.434559081702,115361,7640.0
2024-04-16 22:00:00,-703.3322460173094,82714,6683.0
2024-04-16 23:00:00,-1513.5807914294091,45575,3353.0
2024-04-17 00:00:00,244.50031397309226,22492,1472.0
2024-04-17 01:00:00,239.51091210891997,8339,615.0
2024-04-17 02:00:00,180.78276522720586,5083,353.0
2024-04-17 03:00:00,94.2918297194447,6418,256.0
2024-04-17 04:00:00,61.77411504780133,18441,343.0
2024-04-17 05:00:00,101.93999371453037,67123,727.0
2024-04-17 06:00:00,70.6284833806717,157102,1965.0
2024-04-17 07:00:00,634.1324466186834,325571,4442.0
2024-04-17 08:00:00,36.83569891235129,412854,5775.0
2024-04-17 09:00:00,-324.4586666458699,257143,5604.0
2024-04-17 10:00:00,123.43551419467076,166958,5716.0
2024-04-17 11:00:00,-62.35449299492575,150074,5859.0
2024-04-17 12:00:00,110.83989928626943,162163,6304.0
2024-04-17 13:00:00,230.95415555932777,183169,6693.0
2024-04-17 14:00:00,104.59956636288734,225973,7144.0
2024-04-17 15:00:00,766.128280035703,285407,7878.0
2024-04-17 16:00:00,1237.8588391642252,334097,9078.0
2024-04-17 17:00:00,-227.02898226031357,409114,9364.0
2024-04-17 18:00:00,787.2545330756711,311274,10176.0
2024-04-17 19:00:00,-249.1884635049446,184892,8451.0
2024-04-17 20:00:00,216.35642604700843,132491,7769.0
2024-04-17 21:00:00,603.3759617019705,106407,8733.0
2024-04-17 22:00:00,-614.9956835925768,83047,7599.0
2024-04-17 23:00:00,-1178.85229582396,47383,4291.0
2024-04-18 00:00:00,-34.28679700274324,23390,2043.0
2024-04-18 01:00:00,78.52234739136554,8494,823.0
2024-04-18 02:00:00,194.80391593130582,5367,473.0
