window_name,start_hour,end_hour,window_hours,peak_window_avg_hourly_trips,outside_window_avg_hourly_trips,window_total_trips,demand_lift_pct
14:00-18:00,14,18,364,7370.038461538462,4447.580769230769,2682694.0,65.7089290547757
15:00-19:00,15,19,364,7716.620879120879,4378.2642857142855,2808850.0,76.24840291846299
16:00-20:00,16,20,364,7747.821428571428,4372.0241758241755,2820207.0,77.21359985642982
